jogador,time,idade,altura,peso,temporada,jogos_temporada,foto,logo_time
Jayson Tatum,Boston Celtics,25,2.03,95.3,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628369.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Miles Norris,Boston Celtics,25,2.01,99.8,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641936.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Jrue Holiday,Boston Celtics,25,1.93,93.0,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Jaylen Brown,Boston Celtics,25,1.98,101.2,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627759.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Kristaps Porziņģis,Boston Celtics,25,2.18,108.9,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Derrick White,Boston Celtics,25,1.93,86.2,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Payton Pritchard,Boston Celtics,25,1.85,88.5,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630202.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Torrey Craig,Boston Celtics,25,1.96,100.2,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628470.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Drew Peterson,Boston Celtics,25,2.06,93.0,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641809.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
JD Davison,Boston Celtics,25,1.85,88.5,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631120.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Xavier Tillman,Boston Celtics,25,2.01,111.1,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630214.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Jordan Walsh,Boston Celtics,25,1.98,93.0,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Sam Hauser,Boston Celtics,25,2.01,98.4,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630573.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Luke Kornet,Boston Celtics,25,2.16,113.4,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1628436.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Al Horford,Boston Celtics,25,2.06,108.9,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/201143.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Baylor Scheierman,Boston Celtics,25,1.98,93.0,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631248.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
Neemias Queta,Boston Celtics,25,2.13,112.5,2024-25,0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629674.png,https://upload.wikimedia.org/wikipedia/en/8/8f/Boston_Celtics.svg
